,user,time,location,text
38,swedishjazz,2020-10-01 15:03:53,,Oh I think I just gave myself food poisoning ❤️
39,CathyJoeGPT,2020-10-01 15:03:32,"Mississippi Gulf Coast, USA","RT @CheriJacobus: Remember this? Trump's Proud Boys:
""Among those waiting outside were Stone supporters like alt-right and political commen…"
40,RascalFKennedy,2020-10-01 15:03:00,Astroworld ,RT @wontkatchme: Y’all wanna be rude to people in food service unprovoked so bad until you wake up the next day with severe food poisoning…
41,wontkatchme,2020-10-01 15:02:13,Hell,Y’all wanna be rude to people in food service unprovoked so bad until you wake up the next day with severe food poisoning 😭😭😭
42,khtxx,2020-10-01 15:02:00,,Ima b so mad if I got food poisoning
43,SCAM518,2020-10-01 15:01:02,,"RT @CheriJacobus: Remember this? Trump's Proud Boys:
""Among those waiting outside were Stone supporters like alt-right and political commen…"
44,skotfarkis,2020-10-01 15:00:45,Michigan,RT @MammalNational: Been fantasizing about getting food poisoning lately so I can get a day off that will feel justifiable. Pretty cool.
45,ptuitavuki88,2020-10-01 15:00:41,BigHit's Attic ,"RT @CheriJacobus: Remember this? Trump's Proud Boys:
""Among those waiting outside were Stone supporters like alt-right and political commen…"
46,tpetertaylor125,2020-10-01 14:59:27,In Line to Vote!,"RT @CheriJacobus: Remember this? Trump's Proud Boys:
""Among those waiting outside were Stone supporters like alt-right and political commen…"
47,hayleythebbfork,2020-10-01 14:57:32,"San Francisco, CA",nothing like food poisoning the morning you host a roundtable
48,MammalNational,2020-10-01 14:56:51,steam-heat & opium,Been fantasizing about getting food poisoning lately so I can get a day off that will feel justifiable. Pretty cool.
49,mschleifer13,2020-10-01 14:56:31,,"RT @CheriJacobus: Remember this? Trump's Proud Boys:
""Among those waiting outside were Stone supporters like alt-right and political commen…"
50,TideWoby,2020-10-01 14:56:10,,@mayorgarret @chelseaperetti Friend of mine moved into a flat with his partner and he got food poisoning. Not only… https://t.co/OIWwpoJjQJ
51,JohnsHopkinsEHE,2020-10-01 14:55:03,"Baltimore, MD",Food Poisoning or Stomach Flu: How to Tell the Difference | SELF quotes @AmeshAA  https://t.co/naME7PYI4Y
52,FromaLeftWing,2020-10-01 14:54:58,Los Angeles,GI symptoms can be among the first wave of symptoms and so are important to recognize. It can feel like food poison… https://t.co/pXv5RWDS4i
53,IBRustyJim,2020-10-01 14:54:53,Chesapeake Virginia,"RT @CheriJacobus: Remember this? Trump's Proud Boys:
""Among those waiting outside were Stone supporters like alt-right and political commen…"
54,DKnightBoston,2020-10-01 14:54:36,"Massachusetts, USA","RT @CheriJacobus: Remember this? Trump's Proud Boys:
""Among those waiting outside were Stone supporters like alt-right and political commen…"
55,godlyworm,2020-10-01 14:53:58,Attila’s Court Stock Exchange,@davidfrum Navalny just had some bad food poisoning imo
56,OneFatCatsMom,2020-10-01 14:53:45,Idaho,"RT @CheriJacobus: Remember this? Trump's Proud Boys:
""Among those waiting outside were Stone supporters like alt-right and political commen…"
57,CelineSaidThat,2020-10-01 14:53:21,Edm*nton,@IAmBellaMafia I had hot potato salad once by accident. That’s the story of how I got food poisoning for the first time
58,OlaAdeks,2020-10-01 14:52:25,,"RT @CheriJacobus: Remember this? Trump's Proud Boys:
""Among those waiting outside were Stone supporters like alt-right and political commen…"
59,DenseClarke,2020-10-01 14:51:55,CT,"RT @CheriJacobus: Remember this? Trump's Proud Boys:
""Among those waiting outside were Stone supporters like alt-right and political commen…"
60,drpaul_murphy,2020-10-01 14:50:43,United States,"RT @CheriJacobus: Remember this? Trump's Proud Boys:
""Among those waiting outside were Stone supporters like alt-right and political commen…"
61,DavidDe17354109,2020-10-01 14:49:37,"Mara lago, fl","RT @CheriJacobus: Remember this? Trump's Proud Boys:
""Among those waiting outside were Stone supporters like alt-right and political commen…"
