,user,time,location,text
41,DataforcSandra,2020-10-01 15:03:06,,"RT @DavidBegnaud: “However, these meals varied widely in food type, and some meal types contained questionable nutritional value. For examp…"
42,haruu1510,2020-10-01 15:02:37,,"Tapi gua dah paham kok, semua ada jalannya, ada hikmahnya juga. Gua jadi bisa lebih aware sama badan gua, jadi lebi… https://t.co/JXZbRG1ILX"
43,nhhslou,2020-10-01 15:01:29,#VIC: read unbelievers,im in need of junk food
44,WallaceConquers,2020-10-01 15:01:20,Reston VA,RT @Cali_Sass: I wonder if junk food and bread miss my fat ass as much as I miss them.
45,gurdeepmahi007,2020-10-01 15:01:14,"Barnala, Punjab","RT @iambutterlion: More than 60% of Indian population is suffering from a lot of heart problems , liver problem , and internal organ proble…"
46,jdmcel,2020-10-01 15:01:02,RI,@Clong03 @TDA3397 I like it. Must be junk food so it gets taxed. Its not healthy!
47,Laffingnan,2020-10-01 14:59:43,Kernow,"@BBCWorld Junk food contributing to the obesity crisis this country has. Forty years ago, obese people were a novel… https://t.co/BwkEyceT4a"
48,motorcycle_boii,2020-10-01 14:58:16,"she/her, 05☆나는 좋은 사람? 아님 나쁜 사람? 
평가는 가지각색 그냥 나도 사람 eh
다들 살아가겠지 yeah 다들 사랑하겠지
다들 바래가겠지  잊혀가겠지 사람들은 변하지 나도 변했듯이 세상살이 영원한 건 없어","mom: don't eat only junk food, heat up something 

me: continues to only eat hot cheetos till dinner"
49,manofletterz,2020-10-01 14:58:14,The Sewers of Derry,RT @CrownAndCoke4: Send junk food and your booty.
50,Poteto3__Loizz,2020-10-01 14:58:09,,だってライブ終わった直後にエラーなってタイトル戻らされてもっかい開いたらスタミナ8ぐらい減ってる3消費にしてるのに https://t.co/1YZvLA7XBv
51,JasonAStanley,2020-10-01 14:57:59,Reality,"RT @AndrewBellBNN: and that is why they call it junk food

Sandwiches in Subway 'too sugary to meet legal definition of being bread' https:…"
52,mynamesjed,2020-10-01 14:57:29,Black Lives Matter ,"wish I was the type of person who something goes wrong for me I dye my hair or get a piercing, instead I’m the dysf… https://t.co/eANl7IFZmL"
53,JMLOrbitz,2020-10-01 14:57:25,Manila,Medyo nafrustrate ako ng slight. How can she be lighter than me in terms of weight eh sobrang unhealthy ng lifestyl… https://t.co/oncHrbU5H4
54,Poteto3__Loizz,2020-10-01 14:57:24,,もうプロセカやらん(ど短期)
55,MagdalenaHuds18,2020-10-01 14:57:16,,"RT @1renist: Excellent decision that for VAT purposes this isn’t a staple food, but junk food: modern industrially produced breads are so f…"
56,fatehshernu,2020-10-01 14:56:29,Get my Weekly Emails  ⬇️,"RT @fatehshernu: You: ""I have anxiety!""

Also you :

- No sun
- Never read
- Zero Exercise
- Fuck all sleep
- Junk Food all-day
- Binge-wat…"
57,iainrm70,2020-10-01 14:56:04,"southwest
",RT @BattleReady360: Fancy a snack? It's so easy to munch on quick and easy convenience junk food. Fuel yourself between meals with our Batt…
58,GuerinMaxim,2020-10-01 14:55:26,,"Podcast ce soir tard, attention ce sera un podcast de rumeurs, de pourparlers et de valeurs de joueurs au travers d… https://t.co/cyJzJC1nUn"
59,phillip92321,2020-10-01 14:55:09,"Chicago, IL","RT @DavidBegnaud: “However, these meals varied widely in food type, and some meal types contained questionable nutritional value. For examp…"
60,NorthBelle4,2020-10-01 14:55:06,Treaty 13 - The Big Smoke.,"@black_mixed My hubby+I have not eaten out since March 18.

We're cooking everything from scratch.

We've noticed a… https://t.co/RSIvBcVz2I"
61,yessika_ortega,2020-10-01 14:54:37,,As soon i get home heating up my moms tamales she made a cup of coffee and buy sushi maybe and a bunch of junk food… https://t.co/VHqECjRGK3
62,jgcOCANADA,2020-10-01 14:54:24,,"RT @DavidBegnaud: “However, these meals varied widely in food type, and some meal types contained questionable nutritional value. For examp…"
63,kirklandRI01,2020-10-01 14:54:18,,@Bevvie112 We are lab rats. The cheap junk food the gun stores the liquor stores. Everything was an experiment aka project
64,CrownAndCoke4,2020-10-01 14:54:10,"Alberta, Canada",Send junk food and your booty.
65,Cali_Sass,2020-10-01 14:53:58,,I wonder if junk food and bread miss my fat ass as much as I miss them.
66,terrajukic,2020-10-01 14:52:07,"Wemding , Deutschland",@DHeuwer Kein Junk Food für mich. Das dreckige Anzeige können MC Fat und Co behalten.
67,thomasd911,2020-10-01 14:50:48,,RT @Irina_le_Fey: Sometimes I love to eat vegan junk food 🥰 https://t.co/KuYrVWFQQs
68,bwk1992,2020-10-01 14:50:31,,"RT @DavidBegnaud: “However, these meals varied widely in food type, and some meal types contained questionable nutritional value. For examp…"
69,refracted_i,2020-10-01 14:50:08,,"RT @DMRHerbs: In America, the government (with help from major corporations) has and is willfully dumbing down the population with Sodium F…"
70,kaleigh_karr,2020-10-01 14:49:18,"South Carolina, USA",RT @sierrastarrbmx: One of my favorite things to do is have my friends all cuddled up in bed with me watching scary movie and eating junk f…
71,DanForTexas,2020-10-01 14:47:12,San Antonio,"Junk food and sodas are drugs, the only reason the DEA doesn't imprison people for them is public opinion. Change my mind."
72,MGuru2020,2020-10-01 14:46:17,#PA01,"RT @DavidBegnaud: “However, these meals varied widely in food type, and some meal types contained questionable nutritional value. For examp…"
73,BattleReady360,2020-10-01 14:46:00,,Fancy a snack? It's so easy to munch on quick and easy convenience junk food. Fuel yourself between meals with our… https://t.co/M0z1u8yamn
74,Heidijbeck,2020-10-01 14:45:44,"SF Bay Area, California",RT @susie_meister: Maybe Trump should save his presidential salary checks after all. Prison commissaries charge a premium for junk food.
75,InsanGirl11,2020-10-01 14:44:42,,"RT @iambutterlion: More than 60% of Indian population is suffering from a lot of heart problems , liver problem , and internal organ proble…"
76,Devernae,2020-10-01 14:43:37,,"RT @DMRHerbs: In America, the government (with help from major corporations) has and is willfully dumbing down the population with Sodium F…"
77,CoachWatkins91,2020-10-01 14:43:23,"Kansas, USA","What is GAINED (+) when you ingest something NEGATIVE (-)? 

Absolutely nothing. 

Be careful who/what you give att… https://t.co/1IUZjYdbzY"
78,davidmihm,2020-10-01 14:42:53,"Portland, OR","@mattmcgee @MatthewJBrown Awesome is a strong word...but we do watch sports, drink beers, and eat junk food extremely well."
79,Lady_Historian,2020-10-01 14:42:02,"Oregon, USA","RT @DavidBegnaud: “However, these meals varied widely in food type, and some meal types contained questionable nutritional value. For examp…"
80,sweetcandylove,2020-10-01 14:41:49,Philippines,I need my junk food
81,FinallyDeirdre,2020-10-01 14:40:28,"boston, ma","RT @DavidBegnaud: “However, these meals varied widely in food type, and some meal types contained questionable nutritional value. For examp…"
82,Poteto3__Loizz,2020-10-01 14:40:21,,ここから先結構きつい https://t.co/TO07Gj1K6a
83,roza_eve,2020-10-01 14:39:16,Hamburg BRD ,"@DHeuwer Ich mag tatsächlich lieber Burger King, wenn ich schon so'n Junk Food mir reinziehe. 
Die haben gute Sauce… https://t.co/3R8tAJl3Kw"
84,jumardito,2020-10-01 14:38:38,,"Main futsal 2 jam, selesainya makan junk food + air es. Terasa percuma olahraga"
85,StevenKelly82,2020-10-01 14:38:21,"Essex, UK",So it seems the visits to the gym and lack of junk food this week has worked a treat as I’ve lost 3.5lbs. I’ll be u… https://t.co/hL4RqRNFPi
86,cynthianatalie,2020-10-01 14:37:47,Los Angeles,"RT @DavidBegnaud: “However, these meals varied widely in food type, and some meal types contained questionable nutritional value. For examp…"
87,strange_engi,2020-10-01 14:37:16,apni duniya mein,"@shivanshis4 @D09parashar @MeinKampF_2 Din bhar jo mixture,biscuit or kya kya khati rhti ho vo junk food mein nhi count hota hai kya🤔"
88,kembalikebumi,2020-10-01 14:36:23,Mars,"After I realizing that pola hidup gua selama ngekost setaun kemaren sangatlah tidak sehattt, akhirnya gua memutuska… https://t.co/F2XKpBbCSy"
89,KarmaTibetano,2020-10-01 14:36:20,#LandOfSnow. #RT≠Endorsement,RT @tibettruth: Tibetans In Occupied Tibet Forced Into A Dependency Of Chinese Junk Food. https://t.co/Ig1dCDsLC4
90,JaysQuill,2020-10-01 14:35:32,Caribbean,"@WayneGr71276033 Is good that you acknowledge it, eating healthy and exercising is good for the heart 
I hate eatin… https://t.co/t3ykbXvF45"
91,omyword,2020-10-01 14:35:19,"Bisbee, AZ","RT @DavidBegnaud: “However, these meals varied widely in food type, and some meal types contained questionable nutritional value. For examp…"
92,kobe_cinemaport,2020-10-01 14:34:38,,"RT @yugenmukotsu: #KOBECINEMAPORTフェス
まずはJUNK FOOD CAFE SHELBYさん（@kobe_shelby2014 ）で、スタンプカードくださいな、をして、キューバ・オリジナル・サンドをいただく。うましかて。

スタンプ1個目 ht…"
93,KarmaTibetano,2020-10-01 14:34:36,#LandOfSnow. #RT≠Endorsement,RT @tibettruth: #Tibetans In Occupied #Tibet Forced Into A Dependency Of Chinese Junk Food. https://t.co/rahZUIpgug #news #trueTibet #break…
94,FatherFatigued,2020-10-01 14:34:23,,@KaceyORiordan Basically child abuse😏. Feed them real food in sensible portions. Give them opportunities to run abo… https://t.co/8gPAjrSMAu
95,kikeps38,2020-10-01 14:33:59,"Paradise City, Puerto Rico","RT @DavidBegnaud: “However, these meals varied widely in food type, and some meal types contained questionable nutritional value. For examp…"
96,danyoolripley,2020-10-01 14:33:49,Yonder heath of Chadwell,"I just want to have the incredible variety of choice of junk food that American consumers have, but not their awful… https://t.co/3sWro4wakn"
97,LisaZucker3,2020-10-01 14:32:45,"Austin, TX","RT @DavidBegnaud: “However, these meals varied widely in food type, and some meal types contained questionable nutritional value. For examp…"
98,Lulama2928764,2020-10-01 14:32:10,"Cape Town, South Africa","RT @skizo_904: 1st Oct - 15th December 2020

Alcohol ❌
Sugar / sugary drink ❌
Starch (Rice, pasta, pap etc) ❌
Oily processed food and meat…"
99,misskay_andrews,2020-10-01 14:32:04,United States,Today is starting off really bad I just wanna eat junk food and draw for rest of the day and maybe write .... I can… https://t.co/M1s9YGNY03
